feature,mean_abs_shap
trigram_ers,0.0010093156037678836
trigram_t t,0.0010090849648231482
fw_but,0.0010024188868061202
trigram_wit,0.000975213489721711
trigram_of ,0.000947199207819408
trigram_ he,0.0009193455590493523
trigram_ve ,0.0009132752149533369
"trigram_s, ",0.0009058583099850274
trigram_ we,0.0008983132737139188
trigram_ ar,0.0008966091724776191
fw_you,0.0008814306347101681
trigram_ith,0.0008703416505891212
trigram_ li,0.0008470154057259511
trigram_s t,0.0008436837865125104
fw_are,0.0008283388520810688
trigram_ yo,0.0008270924295990176
trigram_for,0.0008252796844258638
trigram_com,0.0008219179735201525
trigram_ wa,0.0008194746748145312
fw_with,0.0008054750998600262
fw_they,0.0007988577034809934
trigram_s a,0.0007906734273406149
trigram_ter,0.0007835912449521497
fw_this,0.0007819839218000155
trigram_er ,0.0007791304248538918
trigram_all,0.0007666164795373655
trigram_ of,0.0007650260818415006
fw_would,0.0007554219937467427
trigram_e o,0.0007532031280331275
trigram_ate,0.0007531237433092272
trigram_are,0.00071580211257082
trigram_nt ,0.0007046665038760815
fw_by,0.0007045824836624217
trigram_s o,0.0007007356667804198
fw_of,0.000700591571098384
trigram_ati,0.0006966581171321075
fw_for,0.000695304571743432
trigram_ed ,0.0006923512426538856
punct_exclaim_per100w,0.0006891684607200313
trigram_ion,0.000689038077397545
fw_if,0.0006837156051095488
trigram_res,0.0006806067730183754
fw_on,0.0006724573653251924
trigram_e s,0.0006592985099363579
trigram_rea,0.0006522072388358626
trigram_se ,0.0006508854044753996
trigram_ re,0.000649865522868528
fw_through,0.0006489709938857774
trigram_ on,0.0006414599721857389
trigram_ere,0.000637506926437294
trigram_ce ,0.0006353964149966602
fw_not,0.0006279010826869752
trigram_ent,0.0006090485237051363
fw_was,0.0006054603784968578
fw_is,0.0006029521266639269
trigram_ess,0.0006027515323531175
trigram_pro,0.0006017410125059903
trigram_tio,0.00060077440491307
trigram_ ma,0.0005983043291565224
trigram_ so,0.0005978114850009238
fw_before,0.0005958987783330549
trigram_is ,0.0005944620331852328
trigram_le ,0.0005804379273737292
fw_into,0.0005790825013419915
fw_during,0.0005628867812624483
fw_about,0.0005554194124494854
trigram_th ,0.0005449479024484708
trigram_en ,0.0005373447884617081
fw_be,0.0005350723152353532
fw_had,0.0005158075514373212
fw_these,0.0005055674058608765
trigram_e a,0.000500870733545695
fw_over,0.00048465308721075965
trigram_ pr,0.00048411995567111183
trigram_ons,0.00046122048266666703
fw_from,0.00045661251553901476
fw_he,0.0004369847548881872
trigram_al ,0.0004299804294734765
punct_question_per100w,0.00041871481263731913
fw_we,0.00041816969976615884
fw_will,0.00039041007664941327
fw_she,0.00037484283444883334
trigram_e c,0.0003743998964340701
fw_at,0.0003739800978734264
fw_so,0.0003655013614606385
fw_i,0.0003463055078519598
fw_may,0.00034609893437191185
fw_been,0.0003155222386946432
fw_after,0.00031142916272257484
fw_against,0.00031094898389186134
fw_were,0.0002925049311447387
fw_should,0.0002549545286990227
fw_do,0.00023413529823259339
fw_then,0.00022301870139932462
fw_no,0.000195802934013243
fw_has,0.00019512282023327095
fw_those,0.00017159274318625438
fw_did,0.00017123683244875173
fw_between,0.00017106217346296536
fw_under,0.00011679071741556424
fw_off,0.0001116514133686224
fw_again,0.00010356303308942966
fw_does,0.00010339344240976173
fw_might,0.00010049132557691213
fw_very,7.86389792128101e-05
fw_being,7.717926723170123e-05
fw_must,7.278439911513816e-05
fw_above,2.2034300487656024e-05
fw_below,1.889186738806251e-05
fw_further,1.5546676763971777e-05
fw_shall,0.0
